Source	Tag	Name	SR_LOCATION	Date
Parking Tickets	pticket		"900 PRAIRIE ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"9100 WOLCOTT PARK LN, Houston, TX"	1/2/13
Parking Tickets	pticket		"9600 KETCHWOOD DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"600 ROUSE, Houston, TX"	1/2/13
Parking Tickets	pticket		"1300 COMMERCE ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"900 GESSNER RD, Houston, TX"	1/2/13
Parking Tickets	pticket		" JOHN F KENNEDY BLVD, Houston, TX"	1/2/13
Parking Tickets	pticket		"6700 TEXARKANA ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"6600 TRAVIS ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"5300 BROWNWAY ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1300 COMMERCE ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"6600 LANIER DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"1300 HERMANN DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"400 WOOLWORTH, Houston, TX"	1/2/13
Parking Tickets	pticket		"4400 NORTH FWY, Houston, TX"	1/2/13
Parking Tickets	pticket		"6600 LANIER DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 LUBBOCK, Houston, TX"	1/2/13
Parking Tickets	pticket		"400 WOOLWORTH, Houston, TX"	1/2/13
Parking Tickets	pticket		"9600 WESTHEIMER RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"1300 HERMANN DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 SMITH ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"2000 LAMAR ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1100 PRAIRIE ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"2500 WINROCK BLVD, Houston, TX"	1/2/13
Parking Tickets	pticket		"700 POLK ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"2000 VERMONT ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1100 PRAIRIE ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"2500 WINROCK BLVD, Houston, TX"	1/2/13
Parking Tickets	pticket		"9400 LETTIE AVE, Houston, TX"	1/2/13
Parking Tickets	pticket		"2000 BRUN ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"900 MILAM ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1500 LUBBOCK ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"800 MCKINNEY ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"6500 LANIER DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"8900 CARVEL LN, Houston, TX"	1/2/13
Parking Tickets	pticket		"2700 DUNVALE RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"900 GIRARD ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"800 WALKER ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"10900 STOVER, Houston, TX"	1/2/13
Parking Tickets	pticket		"900 KEY ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 HAYS ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"800 HOUSTON AVE, Houston, TX"	1/2/13
Parking Tickets	pticket		"2200 BANCROFT ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 HAYS ST, Houston, TX"	1/2/13
